RefSeqID,A_11PM,A_3AM,A_7AM,A_11AM,A_3PM,A_7PM,B_11PM,B_3AM,B_7AM,B_11AM,B_3PM,B_7PM,GeneSymbol
NM_001017539,6.48134,6.81978,7.67513,12.1132,6.92623,10.3149,5.87392,8.3447,6.91557,4.90778,6.93769,5.53965,zgc:113196
NM_001044789,6.73121,10.9117,14.2427,8.01019,8.53124,19.4846,13.1541,10.0696,16.2827,10.3476,10.4037,13.8479,NOVA1
NM_001005390,24.7688,28.6974,54.9021,94.1999,29.2156,48.9062,22.8459,32.2501,25.801,26.7511,27.5217,25.7337,alkbh6
NM_001077271,4.7656,4.56127,3.96295,4.31396,4.53266,6.33349,4.88405,6.77488,4.8348,3.73551,4.84514,4.93437,zgc:153990
NM_130958,0.336392,0.786645,0.322995,0.77825,0.339048,0.569034,0.395132,0.483364,0.908207,0.276592,0.249671,0.597101,dlb
NM_001017863,15.9956,18.8478,28.3353,21.2689,15.9129,6.27687,12.5534,15.3805,37.8002,26.7057,14.3006,7.88292,Ppp1r14a
NM_130921,6.78699,8.64031,14.3682,15.5827,11.0563,8.85321,8.60969,9.13102,11.4858,9.44716,8.40227,9.10984,NCCRP1
NM_001123296,2.08332,2.43461,3.16141,2.85277,3.39184,3.28774,3.49924,4.02099,3.64126,3.66918,5.04157,3.85864,slc8a2a
NM_205673,26.5796,29.0979,28.765,24.5355,22.7146,21.8807,29.6868,20.9844,43.4004,32.8174,26.7829,19.9006,zgc:77155
NM_201099,34.513,36.8082,39.9868,37.9271,36.3576,36.5494,37.4657,30.222,41.1369,33.0406,33.5241,26.256,hnrpl
NM_152940,287.358,305.25,205.585,233.505,268.759,198.433,345.896,320.316,231.012,341.433,316.149,275.253,CRX
NM_001128766,0.735468,3.20573,4.03163,1.86076,1.81191,4.06743,1.94683,1.75151,5.93835,3.56583,2.98894,2.12945,zgc:194261
NM_001128795,21.7784,23.3776,25.223,20.3562,19.5789,21.8481,25.8668,28.489,27.5944,20.9346,25.1392,19.3477,si:dkeyp-110c7.1
NM_201576,18.7429,14.9953,54.7762,52.7303,24.518,20.7579,20.2109,20.9629,52.8205,36.0748,24.5148,19.6238,TAGLN2
NM_001089532,11.2385,13.8382,14.5826,11.9942,13.1822,15.7732,12.322,12.6734,14.3826,12.5895,14.35,15.1341,zgc:163098
NM_001099229,13.6096,14.0755,15.9089,11.9414,15.1712,16.4297,11.6442,14.4417,10.7944,12.5178,15.0553,14.1659,zgc:163008
NM_001099989,13.7665,12.9153,14.7066,12.4416,10.7138,18.5604,9.75129,11.4683,13.0625,13.6816,13.8493,11.6098,LOC558044
NM_001013531,4.74148,4.67642,5.65926,8.97809,5.49692,8.94485,5.26835,4.22777,5.48744,4.23666,5.86196,4.91028,Cdc42ep2
NM_001007152,65.7656,53.21,45.3801,41.3759,51.2245,43.6652,68.3062,67.7686,53.8883,56.1528,59.3799,57.134,dpf2
NM_001100031,7.4359,6.37968,4.23907,7.63536,7.53213,5.05512,7.22703,7.31383,4.75208,7.20758,6.20087,6.29982,si:ch211-69i14.4
NM_131005,269.942,60.5119,1093.84,353.813,121.254,1393.08,182.554,36.0444,790.393,692.266,165.683,173.331,epd
NM_001100030,16.1797,12.9061,11.1201,10.5388,17.6357,12.7839,20.3888,20.5085,10.4082,12.3383,18.7934,21.3435,si:ch211-69i14.7
NM_131056,0,0,0,0.165801,0.189402,0,0,0,0,0,0,0.204762,INS
NM_001126377,0,0,0,0,0,0,0,0,0,0,0,0.105077,tmprss4b
NM_001082851,3.884,6.67387,7.8029,4.28822,4.05114,7.58543,4.94726,3.64752,7.7249,4.63077,7.17491,4.33469,Pafah1b2
NM_131128,0,0,0,0.31945,0.112965,0.170074,0.581958,0,0.248126,0,0.323205,0.404473,APOA1
NM_001100959,0,0,0,0,0,0,0,0,0,0,0,0,LOC793992
